timestamp	track	status	run_dir	commands
2026-03-16T19:01:08Z	source-trust	fail	research/runs/20260316T190108Z-source-trust	npm run typecheck:all npm run test:data
2026-03-16T19:11:32Z	source-trust	pass	research/runs/20260316T191132Z-source-trust	npm run typecheck:all npm run test:data
